/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_7.asm SUCCESS CPI:5.4 CYCLES:7714 ICOUNT:1417 IHITRATE: 169.2 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_8.asm SUCCESS CPI:5.5 CYCLES:7846 ICOUNT:1417 IHITRATE: 164.9 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_9.asm SUCCESS CPI:5.3 CYCLES:7546 ICOUNT:1417 IHITRATE: 175.3 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small.asm SUCCESS CPI:5.4 CYCLES:7690 ICOUNT:1417 IHITRATE: 170.0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_1.asm SUCCESS CPI:5.3 CYCLES:7558 ICOUNT:1417 IHITRATE: 174.8 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_2.asm SUCCESS CPI:5.3 CYCLES:7534 ICOUNT:1417 IHITRATE: 175.7 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_3.asm SUCCESS CPI:5.4 CYCLES:7594 ICOUNT:1417 IHITRATE: 173.5 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_4.asm SUCCESS CPI:5.3 CYCLES:7534 ICOUNT:1417 IHITRATE: 175.7 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_5.asm SUCCESS CPI:5.5 CYCLES:7834 ICOUNT:1417 IHITRATE: 165.3 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_6.asm SUCCESS CPI:5.4 CYCLES:7714 ICOUNT:1417 IHITRATE: 169.2 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_7.asm SUCCESS CPI:5.4 CYCLES:7714 ICOUNT:1417 IHITRATE: 169.2 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_8.asm SUCCESS CPI:5.5 CYCLES:7846 ICOUNT:1417 IHITRATE: 164.9 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_9.asm SUCCESS CPI:5.3 CYCLES:7546 ICOUNT:1417 IHITRATE: 175.3 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_ld_test_0.asm SUCCESS CPI:7.6 CYCLES:76 ICOUNT:10 IHITRATE: 55.6 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_ld_test_1.asm SUCCESS CPI:12.1 CYCLES:85 ICOUNT:7 IHITRATE: 83.3 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_reg_test_0.asm SUCCESS CPI:5.8 CYCLES:52 ICOUNT:9 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_reg_test_1.asm SUCCESS CPI:10.0 CYCLES:70 ICOUNT:7 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_st_test_0.asm SUCCESS CPI:7.6 CYCLES:76 ICOUNT:10 IHITRATE: 0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_st_test_1.asm SUCCESS CPI:12.1 CYCLES:85 ICOUNT:7 IHITRATE: 0 DHITRATE: 0
